Image_ID,class,confidence,ymin,xmin,ymax,xmax
image_0000,0,0.9624,0.6444444444444445,0.1373046875,0.7777777777777778,0.2212890625
image_0000,0,0.96045,0.634375,0.246875,0.7819444444444444,0.333984375
image_0000,0,0.9502,0.6701388888888888,0.45703125,0.8006944444444445,0.54375
image_0001,0,0.9585,0.5965277777777778,0.38984375,0.9479166666666666,0.5234375
image_0001,0,0.95215,0.7298611111111111,0.15263671875,0.8826388888888889,0.26484375
image_0001,0,0.90283,0.7458333333333333,0.695703125,0.8777777777777778,0.8140625
image_0002,0,0.96777,0.6986111111111111,0.33125,0.8583333333333333,0.44765625
image_0002,0,0.94775,0.7069444444444445,0.56171875,0.8902777777777777,0.6640625
image_0002,0,0.93848,0.7222222222222222,0.746875,0.8722222222222222,0.8734375
image_0003,0,0.96387,0.6413194444444444,0.69140625,0.9236111111111112,0.8546875
image_0003,0,0.9624,0.68125,0.523828125,0.8909722222222223,0.613671875
image_0003,0,0.90918,0.7402777777777778,0.3091796875,0.9125,0.43671875
image_0004,0,0.96289,0.6805555555555556,0.615625,0.8277777777777777,0.71328125
image_0005,0,0.95654,0.6420138888888889,0.693359375,0.8173611111111111,0.771484375
image_0005,0,0.90039,0.6701388888888888,0.1509765625,0.8451388888888889,0.2560546875
image_0005,0,0.89893,0.6888888888888889,0.40234375,0.8375,0.52578125
image_0006,0,0.96289,0.6618055555555555,0.5109375,0.8229166666666666,0.65
image_0006,0,0.93506,0.7041666666666667,0.85546875,0.8180555555555555,0.94453125
image_0007,0,0.95557,0.6267361111111112,0.5546875,0.7645833333333333,0.61875
image_0008,0,0.95508,0.6944444444444444,0.723828125,0.8194444444444444,0.809375
image_0009,0,0.96484,0.6361111111111111,0.70625,0.8472222222222222,0.82265625
image_0009,0,0.95264,0.6590277777777778,0.3427734375,0.8576388888888888,0.416796875
image_0010,0,0.95654,0.6833333333333333,0.260546875,0.8291666666666667,0.341015625
image_0010,0,0.95068,0.6538194444444444,0.59296875,0.8256944444444444,0.75546875
image_0011,0,0.95166,0.6791666666666667,0.101171875,0.8083333333333333,0.216796875
image_0012,0,0.9375,0.6659722222222222,0.39296875,0.7895833333333333,0.471875
image_0012,0,0.91895,0.6805555555555556,0.623046875,0.7972222222222223,0.687109375
image_0013,0,0.95996,0.6090277777777777,0.447265625,0.75625,0.569921875
image_0013,0,0.95312,0.6489583333333333,0.689453125,0.75625,0.773046875
image_0013,0,0.95264,0.6434027777777778,0.30234375,0.74375,0.38828125
image_0014,0,0.94385,0.6524305555555555,0.0521,0.7569444444444444,0.13046875
image_0014,0,0.92578,0.6277777777777778,0.3513671875,0.7666666666666667,0.401953125
image_0015,0,0.95996,0.6204861111111111,0.3859375,0.7819444444444444,0.51875
image_0015,0,0.94873,0.6625,0.585546875,0.7861111111111111,0.643359375
image_0015,0,0.94287,0.6777777777777778,0.710546875,0.7930555555555555,0.81328125
image_0016,0,0.96533,0.6125,0.457421875,0.7958333333333333,0.585546875
image_0016,0,0.93359,0.6638888888888889,0.723046875,0.7680555555555556,0.8109375
image_0017,0,0.94482,0.5354166666666667,0.673046875,0.7020833333333333,0.755078125
image_0017,0,0.93359,0.5555555555555556,0.39140625,0.6965277777777777,0.50625
image_0017,0,0.88184,0.6131944444444445,0.575,0.6881944444444444,0.621875
image_0018,0,0.94678,0.6263888888888889,0.285546875,0.7347222222222223,0.367578125
image_0018,0,0.93848,0.625,0.736328125,0.7638888888888888,0.87734375
image_0019,0,0.95508,0.5961805555555556,0.371484375,0.74375,0.491796875
image_0019,0,0.93652,0.6420138888888889,0.79609375,0.7583333333333333,0.87734375
image_0019,0,0.85205,0.6190972222222222,0.5515625,0.7333333333333333,0.66875
image_0020,0,0.94238,0.6302083333333334,0.846875,0.7625,0.9171875
image_0020,0,0.9375,0.61875,0.52890625,0.7798611111111111,0.65546875
image_0021,0,0.95117,0.6552083333333333,0.4625,0.775,0.5890625
image_0021,0,0.94873,0.6145833333333334,0.208203125,0.75625,0.280859375
image_0022,0,0.96582,0.6708333333333333,0.409375,0.7805555555555556,0.50078125
image_0023,0,0.94385,0.6274305555555556,0.64765625,0.7222222222222222,0.71875
image_0023,0,0.93555,0.5809027777777778,0.387890625,0.7125,0.476171875
image_0023,0,0.93311,0.6322916666666667,0.7890625,0.7215277777777778,0.8640625
image_0024,0,0.96289,0.64375,0.73515625,0.8479166666666667,0.87109375
image_0024,0,0.93652,0.6986111111111111,0.590234375,0.825,0.666796875
image_0024,0,0.92822,0.6826388888888889,0.2998046875,0.8104166666666667,0.4
image_0025,0,0.96924,0.7340277777777777,0.335546875,0.9118055555555555,0.444921875
image_0025,0,0.96387,0.6666666666666666,0.03076171875,0.8486111111111111,0.12099609375
image_0025,0,0.9502,0.7590277777777777,0.608203125,0.90625,0.7984375
image_0026,0,0.96387,0.6444444444444445,0.211328125,0.8125,0.299609375
image_0026,0,0.96338,0.6798611111111111,0.728125,0.8131944444444444,0.83125
image_0026,0,0.95605,0.6732638888888889,0.38828125,0.8125,0.4734375
image_0027,0,0.96924,0.6930555555555555,0.571875,0.9027777777777778,0.74765625
image_0027,0,0.95898,0.6888888888888889,0.8828125,0.8694444444444445,0.9828125
image_0027,0,0.95508,0.6805555555555556,0.18515625,0.875,0.276953125
image_0028,0,0.95215,0.65,0.6484375,0.8625,0.73828125
image_0029,0,0.96191,0.675,0.211328125,0.8333333333333334,0.3015625
image_0029,0,0.95654,0.6944444444444444,0.0658203125,0.8277777777777777,0.1615234375
image_0029,0,0.9458,0.6875,0.7875,0.8625,0.8984375
image_0030,0,0.96582,0.625,0.383984375,0.7763888888888889,0.480859375
image_0030,0,0.95898,0.6375,0.628515625,0.7847222222222222,0.691015625
image_0031,0,0.95312,0.6604166666666667,0.31484375,0.78125,0.398046875
image_0032,0,0.96387,0.6486111111111111,0.673046875,0.7875,0.796875
image_0032,0,0.95801,0.6520833333333333,0.15849609375,0.7868055555555555,0.283984375
image_0032,0,0.89746,0.575,0.85859375,0.7833333333333333,0.93671875
image_0033,0,0.96045,0.6145833333333334,0.33125,0.7965277777777777,0.44140625
