file_name,label,split
train-1-slice-1.wav,1,train
train-1-slice-2.wav,1,train
train-1-slice-3.wav,1,train
train-1-slice-4.wav,1,train
train-2-slice-1.wav,2,train
train-2-slice-2.wav,2,train
train-3-slice-1.wav,1,train
train-3-slice-2.wav,1,train
train-3-slice-3.wav,1,train
train-3-slice-4.wav,1,train
valid-1-slice-1.wav,1,valid
valid-1-slice-2.wav,1,valid
valid-1-slice-3.wav,1,valid
valid-2-slice-1.wav,2,valid
valid-2-slice-2.wav,2,valid
valid-3-slice-1.wav,1,valid
valid-3-slice-2.wav,1,valid
valid-3-slice-3.wav,1,valid
valid-3-slice-4.wav,1,valid
test-slice-1.wav,1,test
test-slice-2.wav,1,test
test-slice-3.wav,1,test
test-slice-4.wav,1,test
